gss_code,ward,population
E05001643,Anchorsholme,6278
E05001644,Bispham,6291
E05001645,Bloomfield,7345
E05001646,Brunswick,6890
E05001647,Claremont,7178
E05001648,Clifton,6589
E05001649,Greenlands,6714
E05001650,Hawes Side,7010
E05001651,Highfield,6367
E05001652,Ingthorpe,6468
E05001653,Layton,6619
E05001654,Marton,6620
E05001655,Norbreck,5981
E05001656,Park,7532
E05001657,Squires Gate,6128
E05001658,Stanley,6550
E05001659,Talbot,6414
E05001660,Tyldesley,6447
E05001661,Victoria,6564
E05001662,Warbreck,6144
E05001663,Waterloo,6252
E05005150,Bank Hall,6438
E05005151,Briercliffe,5259
E05005152,Brunshaw,5970
E05005153,Cliviger with Worsthorne,5017
E05005154,Coal Clough with Deerplay,5253
E05005155,Daneshouse with Stoneyholme,7021
E05005156,Gannow,5642
E05005157,Gawthorpe,6309
E05005158,Hapton with Park,5863
E05005159,Lanehead,6502
E05005160,Queensgate,5981
E05005161,Rosegrove with Lowerhouse,6784
E05005162,Rosehill with Burnley Wood,6036
E05005163,Trinity,5649
E05005164,Whittlefield with Ightenhill,5620
E05005165,Adlington and Anderton,8205
E05005166,Astley and Buckshaw,8107
E05005167,Brindle and Hoghton,1924
E05005168,Chisnall,4152
E05005169,Chorley East,7332
E05005170,Chorley North East,6515
E05005171,Chorley North West,6274
E05005172,Chorley South East,8185
E05005173,Chorley South West,9451
E05005174,Clayton-le-Woods and Whittle-le-Woods,8923
E05005175,Clayton-le-Woods North,7013
E05005176,Clayton-le-Woods West and Cuerden,5468
E05005177,Coppull,6967
E05005178,Eccleston and Mawdesley,6536
E05005179,Euxton North,4752
E05005180,Euxton South,3731
E05005181,Heath Charnock and Rivington,2174
E05005182,Lostock,6354
E05005183,Pennine,2680
E05005184,Wheelton and Withnell,4127
E05005185,Ansdell,4354
E05005186,Ashton,4447
E05005187,Central,4511
E05005188,Clifton,3960
E05005189,Elswick and Little Eccleston,1533
E05005190,Fairhaven,4124
E05005191,Freckleton East,3276
E05005192,Freckleton West,2724
E05005193,Heyhouses,5001
E05005194,Kilnhouse,4219
E05005195,Kirkham North,4518
E05005196,Kirkham South,3332
E05005197,Medlar-with-Wesham,4372
E05005198,Newton and Treales,3165
E05005199,Park,5147
E05005200,Ribby-with-Wrea,1798
E05005201,St Johns,5084
E05005202,St Leonards,4781
E05005203,Singleton and Greenhalgh,1484
E05005204,Staining and Weeton,3276
E05005205,Warton and Westby,6105
E05005206,Altham,5241
E05005207,Barnfield,4453
E05005208,Baxenden,4013
E05005209,Central,5660
E05005210,Church,5236
E05005211,Clayton-le-Moors,4478
E05005212,Huncoat,4704
E05005213,Immanuel,4349
E05005214,Milnshaw,4864
E05005215,Netherton,4597
E05005216,Overton,6436
E05005217,Peel,4362
E05005218,Rishton,6428
E05005219,St Andrew's,4408
E05005220,St Oswald's,6234
E05005221,Spring Hill,5670
E05005250,Barrowford,4868
E05005251,Blacko and Higherford,1705
E05005252,Boulsworth,5150
E05005253,Bradley,6907
E05005254,Brierfield,5566
E05005255,Clover Hill,5537
E05005256,Coates,5299
E05005257,Craven,5553
E05005260,Higham and Pendleside,1633
E05005261,Horsfield,4843
E05005262,Marsden,3604
E05005263,Old Laund Booth,1383
E05005264,Reedley,5526
E05005265,Southfield,7002
E05005266,Vivary Bridge,5968
E05005267,Walverden,4104
E05005268,Waterside,5173
E05005269,Whitefield,4553
E05005316,Cribden,3948
E05005317,Eden,3635
E05005318,Facit and Shawforth,3838
E05005319,Goodshaw,4127
E05005320,Greenfield,5818
E05005321,Greensclough,6025
E05005322,Hareholme,5822
E05005323,Healey and Whitworth,4016
E05005324,Helmshore,6101
E05005325,Irwell,6228
E05005326,Longholme,5856
E05005327,Stacksteads,3946
E05005328,Whitewell,5879
E05005329,Worsley,6193
E05005357,Ashurst,6331
E05005358,Aughton and Downholland,5456
E05005359,Aughton Park,3749
E05005360,Birch Green,4326
E05005361,Burscough East,4463
E05005362,Burscough West,4800
E05005363,Derby,8955
E05005364,Digmoor,4729
E05005365,Halsall,2064
E05005366,Hesketh-with-Becconsall,3947
E05005367,Knowsley,5564
E05005368,Moorside,3922
E05005369,North Meols,4589
E05005370,Parbold,3780
E05005371,Rufford,2049
E05005372,Scarisbrick,4067
E05005373,Scott,5912
E05005374,Skelmersdale North,4056
E05005375,Skelmersdale South,6405
E05005376,Tanhouse,5341
E05005377,Tarleton,5792
E05005378,Up Holland,6380
E05005379,Wrightington,3947
E05005380,Bickerstaffe,1969
E05005381,Newburgh,1903
E05008551,Earby,6155
E05008552,Foulridge,1616
E05009592,Bare,6905
E05009593,Bolton & Slyne,7145
E05009594,Bulk,9754
E05009595,Carnforth & Millhead,6086
E05009596,Castle,5997
E05009597,Ellel,4222
E05009598,Halton-with-Aughton,2666
E05009599,Harbour,8011
E05009600,Heysham Central,4744
E05009601,Heysham North,5110
E05009602,Heysham South,7051
E05009603,John O'Gaunt,7940
E05009604,Kellet,2154
E05009605,Lower Lune Valley,4630
E05009606,Marsh,6125
E05009607,Overton,2567
E05009608,Poulton,5727
E05009609,Scotforth East,4428
E05009610,Scotforth West,7622
E05009611,Silverdale,1881
E05009612,Skerton East,6892
E05009613,Skerton West,6847
E05009614,Torrisholme,4590
E05009615,University & Scotforth Rural,7041
E05009616,Upper Lune Valley,2533
E05009617,Warton,2018
E05009618,Westgate,7433
E05009932,Bourne,6981
E05009933,Breck,4412
E05009934,Brock with Catterall,4765
E05009935,Calder,2467
E05009936,Carleton,4651
E05009937,Cleveleys Park,4756
E05009938,Garstang,6669
E05009939,Great Eccleston,4160
E05009940,Hambleton & Stalmine,4722
E05009941,Hardhorn with High Cross,6377
E05009942,Jubilee,4797
E05009943,Marsh Mill,6467
E05009944,Mount,5140
E05009945,Park,4996
E05009946,Pharos,4905
E05009947,Pheasant's Wood,1583
E05009948,Pilling,2723
E05009949,Preesall,5648
E05009950,Rossall,6326
E05009951,Stanah,4669
E05009952,Tithebarn,4245
E05009953,Victoria & Norcross,4291
E05009954,Warren,4944
E05009955,Wyresdale,2373
E05010214,Bamber Bridge East,4996
E05010215,Bamber Bridge West,4249
E05010216,Broad Oak,4107
E05010217,Broadfield,5057
E05010218,Buckshaw & Worden,4621
E05010219,Charnock,4050
E05010220,Coupe Green & Gregson Lane,4352
E05010221,Earnshaw Bridge,4951
E05010222,Farington East,3329
E05010223,Farington West,4567
E05010224,Hoole,4195
E05010225,Howick & Priory,7205
E05010226,Leyland Central,5175
E05010227,Longton & Hutton West,5813
E05010228,Lostock Hall,6140
E05010229,Middleforth,7402
E05010230,Moss Side,3977
E05010231,New Longton & Hutton East,4600
E05010232,St Ambrose,4585
E05010233,Samlesbury & Walton,4230
E05010234,Seven Stars,4272
E05010235,Walton-le-Dale East,4264
E05010236,Walton-le-Dale West,4949
E05011508,Audley & Queen's Park,10806
E05011509,Bastwell & Daisyfield,8607
E05011510,Billinge & Beardwood,8964
E05011511,Blackburn Central,9248
E05011512,Blackburn South & Lower Darwen,7814
E05011513,Blackburn South East,9970
E05011514,Darwen East,9483
E05011515,Darwen South,7720
E05011516,Darwen West,8374
E05011517,Ewood,9856
E05011518,Little Harwood & Whitebirk,8848
E05011519,Livesey with Pleasington,7551
E05011520,Mill Hill & Moorgate,8153
E05011521,Roe Lee,8918
E05011522,Shear Brow & Corporation Park,8942
E05011523,Wensley Fold,9209
E05011524,West Pennine,7567
E05012000,Alston & Hothersall,2751
E05012001,Billington & Langho,3400
E05012002,Bowland,1454
E05012003,Brockhall & Dinckley,1918
E05012004,Chatburn,1345
E05012005,Chipping,1517
E05012006,Clayton-le-Dale & Salesbury,1604
E05012007,Derby & Thornley,3130
E05012008,Dilworth,2881
E05012009,"East Whalley, Read & Simonstone",2832
E05012010,Edisford & Low Moor,3536
E05012011,Gisburn & Rimington,1341
E05012012,Hurst Green & Whitewell,1721
E05012013,Littlemoor,2969
E05012014,Mellor,2695
E05012015,Primrose,3882
E05012016,Ribchester,1639
E05012017,Sabden,1568
E05012018,St Mary's,3070
E05012019,Salthill,3634
E05012020,"Waddington, Bashall Eaves & Mitton",1515
E05012021,West Bradford & Grindleton,1740
E05012022,Whalley & Painter Wood,2555
E05012023,Whalley Nethertown,1979
E05012024,Wilpshire & Ramsgreave,3267
E05012025,Wiswell & Barrow,2083
E05012193,Ashton,8632
E05012194,Brookfield,8057
E05012195,Cadley,8040
E05012196,City Centre,11836
E05012197,Deepdale,9511
E05012198,Fishwick & Frenchwood,10257
E05012199,Garrison,8733
E05012200,Greyfriars,7772
E05012201,Ingol & Cottam,8649
E05012202,Lea & Larches,9131
E05012203,Plungington,12808
E05012204,Preston Rural East,7508
E05012205,Preston Rural North,5865
E05012206,Ribbleton,8936
E05012207,St Matthew's,10724
E05012208,Sharoe Green,7688
